ANZ,20190506,27.27,27.68,27.17,27.55,5927607
AO1,20190506,0.009,0.009,0.009,0.009,178703
AOA,20190506,0.004,0.004,0.004,0.004,216285
AOF,20190506,2.63,2.73,2.63,2.73,82526
AOG,20190506,2.05,2.05,2.01,2.02,619059
AON,20190506,0.11,0.11,0.1,0.1,457965
AOP,20190506,0.22,0.22,0.205,0.205,83743
APA,20190506,9.66,9.82,9.63,9.75,1387227
APC,20190506,0.077,0.077,0.077,0.077,119616
APE,20190506,9.1,9.1,9.01,9.03,26650
APG,20190506,0.001,0.001,0.001,0.001,10000000
API,20190506,1.375,1.385,1.335,1.34,2007400
APL,20190506,1.01,1.02,0.975,0.98,641320
APT,20190506,27.3,27.63,26.15,27.5,1859484
APW,20190506,1.42,1.42,1.415,1.415,2871
APX,20190506,25.25,25.45,24.1,24.31,711645
APZ,20190506,0.96,0.97,0.96,0.97,90284
AQC,20190506,0.545,0.545,0.545,0.545,4526
AQG,20190506,3.92,3.92,3.78,3.84,218566
AQR,20190506,2.99,3.02,2.99,2.99,19133
AQX,20190506,0.014,0.016,0.014,0.016,316304
AQZ,20190506,2.59,2.61,2.45,2.53,74715
AR9,20190506,0.12,0.12,0.12,0.12,30000
ARB,20190506,19.55,19.71,18.78,19,280414
ARD,20190506,0.016,0.016,0.016,0.016,437111
ARE,20190506,0.014,0.014,0.012,0.013,4911407
ARF,20190506,2.82,2.84,2.78,2.78,101112
ARG,20190506,7.8,7.8,7.69,7.71,478848
ARL,20190506,0.435,0.445,0.425,0.425,109192
ARQ,20190506,1.69,1.705,1.67,1.67,71987
ARS,20190506,0.022,0.022,0.021,0.022,513410
ARU,20190506,0.05,0.051,0.049,0.05,871725
ARV,20190506,0.042,0.042,0.04,0.04,1915302
AS1,20190506,0.18,0.185,0.175,0.185,169259
ASB,20190506,2.61,2.62,2.55,2.56,689164
ASG,20190506,1.18,1.18,1.18,1.18,18213
ASL,20190506,1.485,1.51,1.41,1.42,3291487
ASN,20190506,0.061,0.061,0.059,0.059,447975
ASP,20190506,0.012,0.012,0.012,0.012,250000
AST,20190506,1.79,1.807,1.777,1.8,2985595
ASX,20190506,74.28,74.99,74.15,74.66,177776
